,Date,AQI,Level,PM2.5,PM10,SO2,CO,NO2,O3_8h
0,2017-07-01,31,优,12,15,6,0.6,26,46
1,2017-07-02,38,优,11,14,6,0.9,31,56
2,2017-07-03,38,优,7,24,11,1,32,60
3,2017-07-04,55,良,11,31,12,1,34,107
4,2017-07-05,46,优,11,32,9,0.8,38,66
5,2017-07-06,49,优,10,33,9,0.8,32,98
6,2017-07-07,41,优,8,30,10,0.9,34,56
7,2017-07-08,45,优,9,34,11,1,36,59
8,2017-07-09,36,优,7,21,9,0.9,29,53
9,2017-07-10,46,优,15,20,8,0.8,22,93
10,2017-07-11,77,良,12,35,15,1.1,32,133
11,2017-07-12,68,良,16,43,16,1.1,37,122
12,2017-07-13,75,良,22,53,16,1.1,38,130
13,2017-07-14,92,良,20,47,12,0.8,35,151
14,2017-07-15,80,良,13,45,15,0.8,38,137
15,2017-07-16,109,轻度污染,21,54,18,0.9,40,170
16,2017-07-17,149,轻度污染,31,77,17,1.2,53,214
17,2017-07-18,67,良,19,56,15,1.2,36,121
18,2017-07-19,63,良,17,49,16,1.2,33,116
19,2017-07-20,70,良,14,45,17,1.2,36,125
20,2017-07-21,74,良,16,48,19,1.1,36,129
21,2017-07-22,119,轻度污染,22,56,17,1.1,34,181
22,2017-07-23,137,轻度污染,31,72,19,1.2,44,201
23,2017-07-24,112,轻度污染,29,74,18,1.1,45,174
24,2017-07-25,143,轻度污染,28,61,20,1.1,35,208
25,2017-07-26,122,轻度污染,43,81,13,1.2,24,185
26,2017-07-27,124,轻度污染,43,83,13,1.1,29,187
27,2017-07-28,140,轻度污染,31,61,13,1.1,27,205
28,2017-07-29,90,良,22,52,14,1.1,33,149
29,2017-07-30,47,优,17,40,11,1,24,95
30,2017-07-31,69,良,10,40,10,1,22,123
